date,open,high,low,close
2014/02/28,5411.4,5441.0,5401.6,5404.8
2014/02/27,5437.0,5437.0,5406.2,5411.4
2014/02/26,5433.8,5452.7,5422.4,5437.0
2014/02/25,5440.2,5461.7,5427.3,5433.8
2014/02/24,5438.7,5455.5,5425.1,5440.2
2014/02/21,5412.3,5452.4,5412.3,5438.7
2014/02/20,5408.2,5441.5,5400.0,5412.3
2014/02/19,5395.5,5421.0,5394.2,5408.2
2014/02/18,5382.9,5396.6,5379.7,5392.8
2014/02/17,5359.9,5382.9,5355.4,5382.9
2014/02/14,5308.1,5356.3,5308.1,5356.3
2014/02/13,5309.7,5332.5,5303.4,5308.1
2014/02/12,5254.5,5310.1,5254.5,5310.1
2014/02/11,5228.3,5261.9,5204.8,5254.5
2014/02/10,5166.5,5222.1,5166.5,5222.1
2014/02/07,5131.4,5168.6,5131.4,5166.5
2014/02/06,5070.3,5131.4,5070.3,5131.4
2014/02/05,5097.1,5111.3,5052.2,5070.3
2014/02/04,5187.9,5187.9,5092.0,5097.1
2014/02/03,5190.0,5198.3,5163.4,5187.9
