date,open,high,low,close
2018/08/31,6351.8,6355.2,6319.5,6319.5
2018/08/30,6352.2,6373.5,6348.2,6351.8
2018/08/29,6304.7,6352.2,6303.0,6352.2
2018/08/28,6268.9,6318.9,6268.9,6304.7
2018/08/27,6247.5,6269.6,6230.9,6268.9
2018/08/24,6244.4,6273.7,6238.0,6247.3
2018/08/23,6266.0,6275.7,6242.5,6244.4
2018/08/22,6284.4,6284.4,6248.8,6266.0
2018/08/21,6345.0,6345.4,6275.9,6284.4
2018/08/20,6338.4,6358.0,6338.4,6345.0
2018/08/17,6328.3,6348.1,6316.6,6339.2
2018/08/16,6329.0,6331.0,6282.4,6328.3
2018/08/15,6299.6,6329.0,6274.7,6329.0
2018/08/14,6252.2,6307.8,6252.2,6299.6
2018/08/13,6278.1,6279.7,6239.6,6252.2
2018/08/10,6297.7,6307.2,6277.4,6278.4
2018/08/09,6268.5,6313.6,6258.4,6297.7
2018/08/08,6253.9,6279.0,6253.9,6268.5
2018/08/07,6273.0,6273.0,6244.4,6253.9
2018/08/06,6234.8,6284.3,6234.8,6273.0
2018/08/03,6240.9,6269.9,6231.2,6234.8
2018/08/02,6275.7,6277.5,6240.9,6240.9
2018/08/01,6280.2,6293.3,6269.1,6275.7
