date,open,high,low,close
2018/07/31,6278.4,6298.6,6271.9,6280.2
2018/07/30,6297.0,6300.2,6260.0,6278.4
2018/07/27,6244.5,6302.3,6244.5,6300.2
2018/07/26,6247.6,6252.1,6214.5,6244.5
2018/07/25,6265.8,6277.3,6239.7,6247.6
2018/07/24,6227.6,6269.2,6227.6,6265.8
2018/07/23,6285.9,6285.9,6224.9,6227.6
2018/07/20,6262.7,6297.9,6254.8,6285.9
2018/07/19,6245.1,6274.2,6243.1,6262.7
2018/07/18,6203.6,6256.8,6203.6,6245.1
2018/07/17,6241.5,6241.5,6199.9,6203.6
2018/07/16,6267.6,6275.7,6235.5,6241.5
2018/07/13,6268.3,6287.1,6251.1,6268.4
2018/07/12,6215.6,6279.8,6209.9,6268.3
2018/07/11,6258.1,6258.1,6209.6,6215.6
2018/07/10,6286.0,6306.1,6257.9,6258.1
2018/07/09,6272.3,6301.5,6272.3,6286.0
2018/07/06,6215.5,6273.5,6215.5,6272.3
2018/07/05,6183.4,6218.5,6182.0,6215.5
2018/07/04,6210.2,6213.8,6174.4,6183.4
2018/07/03,6177.8,6218.3,6177.8,6210.2
2018/07/02,6194.6,6220.1,6177.5,6177.8
