url_id,url,date,title,summary,extraction_date,author
0bf20708f4452322eee345f3532c2f11,https://www.afr.com/markets/equity-markets/asx-to-fall-as-focus-turns-to-rba-20200828-p55qfs,2020/08/31,ASX to fall as focus turns to RBA,Australian shares are set to drop after a big week on Wall Street that took in Donald Trump's nomination and the Fed's new 'accommodative' policy shift.,18-04-2021,Natasha Rudra
ce0c8cb4f8568e0e0c5fe818799a8a97,https://www.afr.com/markets/equity-markets/asx-to-open-lower-but-powell-drives-us-markets-higher-20200828-p55q2w,2020/08/28,ASX to open down but Powell drives US markets higher,Australian shares are set to drop despite continued highs on Wall Street in the wake of a new shift in Federal Reserve policy. ,18-04-2021,Natasha Rudra
9e1440b677b254be8a7a9cc47e0777e9,https://www.afr.com/markets/equity-markets/asx-to-lift-as-wall-street-hits-a-second-week-of-records-20200827-p55pov,2020/08/27,ASX to lift as Wall Street hits a second week of records,Australian shares are set to lift as markets pick up momentum with another record surge boosted by Salesforce and other tech stocks.,18-04-2021,Natasha Rudra
cc4ad80e9eef662973620aebacf56dac,https://www.afr.com/markets/equity-markets/asx-to-fall-as-markets-come-back-to-reality-after-record-runs-20200826-p55pai,2020/08/26,ASX to fall as markets come back to reality after record runs,Australian shares are set to fall with markets struggling for direction as the heat dissipated from last week's record run.,18-04-2021,Natasha Rudra
a45fb55055fc4c42cc6bd71d8fd47386,https://www.afr.com/markets/equity-markets/asx-to-rise-as-s-and-p-and-nasdaq-push-for-records-again-20200825-p55oxb,2020/08/25,ASX to rise as S&P and Nasdaq push for records again,Wall Street looked set to close on record highs for a second week in a row after confirming a bull market and the fastest recovery from a bear market trough in history.,18-04-2021,Natasha Rudra
ecc37965cff8c6fd46ef53724294411e,https://www.afr.com/markets/equity-markets/asx-to-open-slightly-lower-despite-a-big-week-on-wall-street-20200822-p55ocq,2020/08/24,ASX to open slightly lower despite a big week on Wall Street,Australian shares are set to slip after a week of record highs in New York and as more economic data is to come during the week.,18-04-2021,Natasha Rudra
0a5995c836cff95adbefa272dcce2c84,https://www.afr.com/markets/equity-markets/asx-to-rise-as-tech-stocks-shake-off-downbeat-data-20200820-p55nu5,2020/08/21,ASX to rise as tech stocks shake off downbeat data,Australian shares are set to rise as markets advanced on the continued strength of tech stocks rather than US Fed data and unemployment numbers.,18-04-2021,Natasha Rudra
5ea0f31217a741f2aa7bb3f0998f5949,https://www.afr.com/markets/equity-markets/wall-street-hits-records-for-a-second-day-boosted-by-target-and-tech-20200819-p55nex,2020/08/20,"ASX set to slip, despite Wall Street's second day of record highs","The S&P 500 and Nasdaq indexes hit record highs as Apple became the first publicly listed US company to cross $US2 trillion in value, but then markets turned.",18-04-2021,Natasha Rudra
ef1975060f58ed3a398d6fe1852bd224,https://www.afr.com/markets/equity-markets/s-and-p-500-hits-all-time-high-as-markets-soar-amid-pandemic-20200818-p55n0m,2020/08/19,ASX futures fluctuate after S&P 500 hits record high,"The S&P 500 index was on track for a record close, completing a rebound from the pandemic-induced sharemarket crash, as tech stocks boosted Wall Street.",18-04-2021,Natasha Rudra
8ddb1856a6909838c86f68a12582d97c,https://www.afr.com/markets/equity-markets/asx-to-rise-as-us-markets-head-for-another-record-20200818-p55mno,2020/08/18,ASX to rise as US markets head for another record,"Australian shares are set to rise as US markets continued to push for another record high, boosted by technology stocks.",18-04-2021,Natasha Rudra
faefad60580bb9bdab4d0a8f6050397b,https://www.afr.com/markets/equity-markets/asx-to-slip-reporting-season-accelerates-20200815-p55lzg,2020/08/17,"ASX to drop, reporting season accelerates","Australian shares are set to open lower after weakness overseas. Reporting results today: Altium, Amcor, BlueScope, JB Hi-Fi, Lendlease.",18-04-2021,Timothy Moore
7637b7593d4ac0758add07a3af1d475a,https://www.afr.com/markets/equity-markets/asx-to-slip-s-and-p-500-reverses-20200814-p55lm7,2020/08/14,"ASX to slip, US stocks mixed",Australian shares are set to open lower. Wall St poised to end mixed. RBA governor's testimony ahead.,18-04-2021,Timothy Moore
15783d2ec1209ef33b82c1f63700bf9c,https://www.afr.com/markets/equity-markets/s-and-p-500-nears-record-high-asx-to-rise-20200813-p55l6j,2020/08/13,"S&P 500 nears record high, ASX to rise","Australian shares are poised for a fast start as US tech stocks advanced smartly. July's Labour force data ahead. Earnings ahead: AMP, Telstra, Woodside Pete.",18-04-2021,Timothy Moore
c5b6a89e7bc25d58bbf2291918687475,https://www.afr.com/markets/equity-markets/asx-to-rise-s-and-p-500-reaches-for-record-20200812-p55kst,2020/08/12,"ASX to edge up, Wall St drops late","Australian shares are poised to open modestly higher, even after a wave of selling knocked US stocks lower late in their session.",18-04-2021,Timothy Moore
5b6765d6a4fb5c887ec308e3238bcb54,https://www.afr.com/markets/equity-markets/asx-to-slip-wall-st-mixed-20200811-p55kg0,2020/08/11,"ASX to open flat, Wall St mixed",Australian shares are set to open little changed with US stocks mixed to start their week. NAB July business survey ahead.,18-04-2021,Timothy Moore
ea93fe8030c2978c7cf82d761553bd75,https://www.afr.com/markets/equity-markets/asx-to-rise-a-drops-on-us-jobs-report-20200808-p55jtb,2020/08/10,"ASX to rise, $A drops on US jobs report","Australian shares are poised to open higher, though the currency was hit as the greenback got a boost from July's US jobs data.",18-04-2021,Timothy Moore
b230c2efe98ee47092c6112d6ea67af2,https://www.afr.com/markets/equity-markets/asx-to-slip-techs-power-wall-st-ever-higher-20200807-p55je0,2020/08/07,"ASX to slip, Nasdaq closes above 11,000 for first time","Australian shares appear set for a modest opening loss. In New York, Facebook and Apple leapt. RBA policy statement ahead.",18-04-2021,Timothy Moore
d2a397897d4ae928a35a472857fbd7e5,https://www.afr.com/markets/equity-markets/asx-to-rise-dow-retakes-27-000-gold-extends-rally-20200806-p55iz8,2020/08/06,"ASX to rise, Dow retakes 27,000, gold extends rally","Australian shares are positioned to open higher, bolstered by gains on Wall Street and in gold, oil and iron ore.",18-04-2021,Timothy Moore
2bcc589294d7c001c7e51fc3ddb58aee,https://www.afr.com/markets/equity-markets/asx-to-fall-wall-st-mixed-in-late-trade-20200805-p55il8,2020/08/05,"ASX to fall, Wall St tech rally slows","Australian shares are set to open lower, though a late rally in New York helped check earlier futures losses.",18-04-2021,Timothy Moore
09208a32a161d97e485f91e54c77b949,https://www.afr.com/markets/equity-markets/asx-to-leap-microsoft-paces-dow-higher-20200804-p55i7u,2020/08/04,"ASX to leap, Microsoft paces Dow higher","Australian shares are set to soar at the open, with a surge in Microsoft adding ever more fuel to the major US tech giants.",18-04-2021,Timothy Moore
9d36c963feb8bc25912c95ac4c9fcd52,https://www.afr.com/markets/equity-markets/asx-set-to-open-flat-a-resets-lower-20200801-p55hjk,2020/08/03,"ASX set to open flat, $A resets lower","Australian shares are poised for a muted start to the week amid heightening virus concerns, the latest global manufacturing data and RBA positioning.",18-04-2021,Timothy Moore
