Time,Open,High,Low,Last,Change,%Chg,Volume
12/30/2016,5699.1,5699.1,5665.8,5665.8,-33.3,-0.58%,0
12/29/2016,5685,5699.1,5659,5699.1,14.1,+0.25%,0
12/28/2016,5627.9,5693.8,5627.9,5685,57.1,+1.01%,0
12/23/2016,5643.9,5649.8,5619.1,5627.9,-16,-0.28%,0
12/22/2016,5613.5,5644.2,5603.4,5643.9,30.4,+0.54%,0
12/21/2016,5591.1,5628,5591.1,5613.5,22.4,+0.40%,0
12/20/2016,5562.1,5606.8,5557.1,5591.1,29,+0.52%,0
12/19/2016,5532.9,5577.9,5530.9,5562.1,29.2,+0.53%,0
12/16/2016,5538.6,5549.9,5510,5532.9,-5.7,-0.10%,0
12/15/2016,5584.6,5584.6,5517.9,5538.6,-46,-0.82%,0
12/14/2016,5545,5595.7,5545,5584.6,39.6,+0.71%,0
12/13/2016,5562.8,5573.7,5543.5,5545,-17.8,-0.32%,0
12/12/2016,5560.6,5583.2,5552.5,5562.8,2.2,+0.04%,0
12/09/2016,5543.6,5566.1,5541.3,5560.6,17,+0.31%,0
12/08/2016,5478.1,5550.2,5478.1,5543.6,65.5,+1.20%,0
12/07/2016,5428.7,5478.1,5428.7,5478.1,49.4,+0.91%,0
12/06/2016,5400.4,5451.3,5400.4,5428.7,28.3,+0.52%,0
12/05/2016,5444,5444,5383.8,5400.4,-43.6,-0.80%,0
12/02/2016,5500.2,5500.2,5444,5444,-56.2,-1.02%,0
12/01/2016,5440.5,5500.2,5440.5,5500.2,59.7,+1.10%,0
11/30/2016,5457.5,5458.1,5423.2,5440.5,-17,-0.31%,0
11/29/2016,5464.4,5486.6,5453.3,5457.5,-6.9,-0.13%,0
11/28/2016,5507.8,5507.8,5464.4,5464.4,-43.4,-0.79%,0
11/25/2016,5485.1,5520.9,5478.9,5507.8,22.7,+0.41%,0
11/24/2016,5484.4,5503.3,5471.8,5485.1,0.7,+0.01%,0
11/23/2016,5413.3,5488.5,5413.3,5484.4,71.1,+1.31%,0
11/22/2016,5351.3,5425.5,5351.3,5413.3,62,+1.16%,0
11/21/2016,5359.4,5364,5334.9,5351.3,-8.1,-0.15%,0
11/18/2016,5338.5,5366.4,5338.5,5359.4,20.9,+0.39%,0
11/17/2016,5327.7,5344.7,5286.2,5338.5,10.8,+0.20%,0
11/16/2016,5326.2,5346.7,5320.3,5327.7,1.5,+0.03%,0
11/15/2016,5345.7,5345.7,5303.3,5326.2,-19.5,-0.36%,0
11/14/2016,5370.7,5370.7,5315.3,5345.7,-25,-0.47%,0
11/11/2016,5328.8,5370.7,5328.8,5370.7,41.9,+0.79%,0
11/10/2016,5156.6,5328.8,5156.6,5328.8,172.2,+3.34%,0
11/09/2016,5257.8,5314.1,5052.1,5156.6,-101.2,-1.92%,0
11/08/2016,5250.8,5282.4,5244.3,5257.8,7,+0.13%,0
11/07/2016,5180.8,5251.9,5180.8,5250.8,70,+1.35%,0
11/04/2016,5225.6,5225.6,5178,5180.8,-44.8,-0.86%,0
11/03/2016,5229,5241.2,5201.5,5225.6,-3.4,-0.07%,0
11/02/2016,5290.5,5290.5,5207.7,5229,-61.5,-1.16%,0
11/01/2016,5317.7,5317.7,5271.7,5290.5,-27.2,-0.51%,0
10/31/2016,5283.8,5329.1,5277.7,5317.7,33.9,+0.64%,0
10/28/2016,5295.5,5311.4,5261.4,5283.8,-11.7,-0.22%,0
10/27/2016,5359.8,5374.2,5295.5,5295.5,-64.3,-1.20%,0
10/26/2016,5442.8,5442.8,5340.7,5359.8,-83,-1.52%,0
10/25/2016,5408.5,5455.7,5407.7,5442.8,34.3,+0.63%,0
10/24/2016,5430.3,5430.3,5377.4,5408.5,-21.8,-0.40%,0
10/21/2016,5442.1,5446.9,5410.8,5430.3,-11.8,-0.22%,0
10/20/2016,5435.4,5457.9,5433.1,5442.1,6.7,+0.12%,0
10/19/2016,5410.8,5438.6,5410.8,5435.4,24.6,+0.45%,0
10/18/2016,5388.7,5417.5,5386.1,5410.8,22.1,+0.41%,0
10/17/2016,5434,5441.2,5388.7,5388.7,-45.3,-0.83%,0
10/14/2016,5435.5,5447.2,5430.3,5434,-1.5,-0.03%,0
10/13/2016,5474.6,5474.6,5420.8,5435.5,-39.1,-0.71%,0
10/12/2016,5479.8,5479.8,5433.6,5474.6,-5.2,-0.09%,0
10/11/2016,5475.4,5498,5474.4,5479.8,4.4,+0.08%,0
10/10/2016,5467.4,5494.7,5467.4,5475.4,8,+0.15%,0
10/07/2016,5483,5493.1,5457.2,5467.4,-15.6,-0.28%,0
10/06/2016,5452.9,5485.8,5452.9,5483,30.1,+0.55%,0
10/05/2016,5484,5484,5439.8,5452.9,-31.1,-0.57%,0
10/04/2016,5478.5,5484,5448.3,5484,5.5,+0.10%,0
10/03/2016,5435.9,5492.1,5435.9,5478.5,42.6,+0.78%,0
09/30/2016,5471.3,5471.3,5417.7,5435.9,-35.4,-0.65%,0
09/29/2016,5412.4,5473.3,5412.4,5471.3,58.9,+1.09%,0
09/28/2016,5405.9,5435,5399.1,5412.4,6.5,+0.12%,0
09/27/2016,5431.4,5431.4,5372.3,5405.9,-25.5,-0.47%,0
09/26/2016,5431.3,5436.1,5407.6,5431.4,0.1,0.00%,0
09/23/2016,5374.5,5434.3,5373.9,5431.3,56.8,+1.06%,0
09/22/2016,5339.6,5391.9,5339.6,5374.5,34.9,+0.65%,0
09/21/2016,5303.6,5345.5,5303.1,5339.6,36,+0.68%,0
09/20/2016,5294.8,5307.6,5276.3,5303.6,8.8,+0.17%,0
09/19/2016,5296.7,5301.2,5273,5294.8,-1.9,-0.04%,0
09/16/2016,5239.9,5306.1,5239.9,5296.7,56.8,+1.08%,0
09/15/2016,5227.7,5242.5,5204,5239.9,12.2,+0.23%,0
09/14/2016,5207.8,5230.6,5192.2,5227.7,19.9,+0.38%,0
09/13/2016,5219.6,5276.1,5207.8,5207.8,-11.8,-0.23%,0
09/12/2016,5339.2,5339.2,5215,5219.6,-119.6,-2.24%,0
09/09/2016,5385.8,5385.8,5332.4,5339.2,-46.6,-0.87%,0
09/08/2016,5424.2,5424.2,5358,5385.8,-38.4,-0.71%,0
09/07/2016,5413.6,5440.2,5410.6,5424.2,10.6,+0.20%,0
09/06/2016,5429.6,5430.3,5404.4,5413.6,-16,-0.29%,0
09/05/2016,5372.8,5431.1,5372.8,5429.6,56.8,+1.06%,0
09/02/2016,5415.6,5418.9,5361.7,5372.8,-42.8,-0.79%,0
09/01/2016,5433,5433,5405.7,5415.6,-17.4,-0.32%,0
08/31/2016,5478.3,5478.3,5412.6,5433,-45.3,-0.83%,0
08/30/2016,5469.2,5504,5469.2,5478.3,9.1,+0.17%,0
08/29/2016,5515.5,5516.7,5452.3,5469.2,-46.3,-0.84%,0
08/26/2016,5541.9,5544.4,5513.7,5515.5,-26.4,-0.48%,0
08/25/2016,5561.7,5562.4,5535.4,5541.9,-19.8,-0.36%,0
08/24/2016,5553.8,5569.1,5552.5,5561.7,7.9,+0.14%,0
08/23/2016,5515.1,5574,5515.1,5553.8,38.7,+0.70%,0
08/22/2016,5526.7,5537.4,5508.7,5515.1,-11.6,-0.21%,0
08/19/2016,5507.8,5533.1,5504.5,5526.7,18.9,+0.34%,0
08/18/2016,5535,5546,5498.7,5507.8,-27.2,-0.49%,0
08/17/2016,5532,5537.9,5506.7,5535,3,+0.05%,0
08/16/2016,5540,5549.8,5530.1,5532,-8,-0.14%,0
08/15/2016,5530.9,5545.2,5510.8,5540,9.1,+0.16%,0
08/12/2016,5508,5549.1,5506.2,5530.9,22.9,+0.42%,0
08/11/2016,5543.7,5543.7,5483.7,5508,-35.7,-0.64%,0
08/10/2016,5552.5,5552.5,5513.2,5543.7,-8.8,-0.16%,0
08/09/2016,5537.8,5553.8,5536.2,5552.5,14.7,+0.27%,0
08/08/2016,5497.4,5549.6,5497.4,5537.8,40.4,+0.73%,0
08/05/2016,5475.8,5512.5,5475.8,5497.4,21.6,+0.39%,0
08/04/2016,5465.7,5509.2,5465.7,5475.8,10.1,+0.18%,0
08/03/2016,5539.3,5539.3,5465.7,5465.7,-74.8,-1.35%,0
08/02/2016,5587.4,5592.1,5539.3,5540.5,-46.9,-0.84%,0
08/01/2016,5562.4,5611.2,5562.4,5587.4,25,+0.45%,0
07/29/2016,5556.6,5570.4,5536.9,5562.4,5.8,+0.10%,0
07/28/2016,5539.7,5564,5538.8,5556.6,16.9,+0.31%,0
07/27/2016,5537.5,5564.6,5530,5539.7,2.2,+0.04%,0
07/26/2016,5530.2,5537.5,5498.2,5537.5,3.9,+0.07%,0
07/25/2016,5498.2,5548.5,5498.2,5533.6,35.4,+0.64%,0
07/22/2016,5512.6,5512.6,5477.9,5498.2,-14.2,-0.26%,0
07/21/2016,5488.7,5531.9,5488.7,5512.4,23.7,+0.43%,0
07/20/2016,5451.3,5488.7,5439.8,5488.7,37.4,+0.69%,0
07/19/2016,5458.5,5466.4,5432.8,5451.3,-7.2,-0.13%,0
07/18/2016,5429.6,5462.3,5428.9,5458.5,28.9,+0.53%,0
07/15/2016,5411.6,5452.7,5411.6,5429.6,18,+0.33%,0
07/14/2016,5388.5,5416,5386,5411.6,23.1,+0.43%,0
07/13/2016,5353.2,5391.7,5353.2,5388.5,35.3,+0.66%,0
