Time,Open,High,Low,Last,Change,%Chg,Volume
09/23/2020,5784.1,5933.3,5784.1,5923.9,139.8,+2.42%,0
09/22/2020,5822.6,5822.6,5763.2,5784.1,-38.5,-0.66%,0
09/21/2020,5864.5,5868.5,5808.2,5822.6,-41.9,-0.71%,0
09/18/2020,5883.2,5921.4,5864.5,5864.5,-18.7,-0.32%,0
09/17/2020,5956.1,5956.5,5883.2,5883.2,-72.9,-1.22%,0
09/16/2020,5894.8,5958.5,5894.8,5956.1,61.3,+1.04%,0
09/15/2020,5899.5,5919.2,5883.9,5894.8,-4.7,-0.08%,0
09/14/2020,5859.4,5903.2,5859.4,5899.5,40.1,+0.68%,0
09/11/2020,5908.5,5908.5,5836.2,5859.4,-49.1,-0.83%,0
09/10/2020,5878.6,5955.7,5874.8,5908.5,29.9,+0.51%,0
09/09/2020,6007.8,6007.8,5849.4,5878.6,-129.2,-2.15%,0
09/08/2020,5944.8,6025.5,5944.8,6007.8,63,+1.06%,0
09/07/2020,5925.5,5958.9,5869.9,5944.8,19.3,+0.33%,0
09/04/2020,6112.6,6112.6,5918.8,5925.5,-187.1,-3.06%,0
09/03/2020,6063.2,6130.8,6063.2,6112.6,49.4,+0.81%,0
09/02/2020,5953.4,6075.7,5953.4,6063.2,109.8,+1.84%,0
09/01/2020,6060.5,6060.5,5908.9,5953.4,-107.1,-1.77%,0
08/31/2020,6073.8,6093.9,6060.5,6060.5,-13.3,-0.22%,0
08/28/2020,6126.2,6126.2,6056,6073.8,-52.4,-0.86%,0
08/27/2020,6116.4,6159.8,6116.4,6126.2,9.8,+0.16%,0
08/26/2020,6160.4,6160.4,6079.8,6116.4,-45,-0.73%,0
08/25/2020,6129.6,6199.2,6129.6,6161.4,31.8,+0.52%,0
08/24/2020,6111.2,6134.8,6094.7,6129.6,18.4,+0.30%,0
08/21/2020,6120,6166.4,6104.8,6111.2,-8.8,-0.14%,0
08/20/2020,6167.6,6167.6,6096.7,6120,-47.6,-0.77%,0
08/19/2020,6123.4,6196.6,6122.5,6167.6,44.2,+0.72%,0
08/18/2020,6076.4,6139.3,6075.6,6123.4,47,+0.77%,0
08/17/2020,6126.2,6126.2,6059.3,6076.4,-49.8,-0.81%,0
08/14/2020,6091,6139.1,6091,6126.2,35.2,+0.58%,0
08/13/2020,6132,6157.3,6075.8,6091,-41,-0.67%,0
08/12/2020,6138.7,6154.5,6101.1,6132,-6.7,-0.11%,0
08/11/2020,6110.2,6186.1,6110.2,6138.7,28.5,+0.47%,0
08/10/2020,6004.8,6125.3,6004.8,6110.2,105.4,+1.76%,0
08/07/2020,6042.2,6042.2,5993.4,6004.8,-37.4,-0.62%,0
08/06/2020,6001.3,6049.3,6001.3,6042.2,40.9,+0.68%,0
08/05/2020,6037.6,6037.6,5964.9,6001.3,-36.3,-0.60%,0
08/04/2020,5926.1,6059.5,5926.1,6037.6,111.5,+1.88%,0
08/03/2020,5927.8,5947.1,5860.7,5926.1,-1.7,-0.03%,0
07/31/2020,6051.1,6051.1,5893.2,5927.8,-123.3,-2.04%,0
07/30/2020,6006.4,6067,6006.4,6051.1,44.7,+0.74%,0
