Time,Open,High,Low,Last,Change,%Chg,Volume
12/31/2012,4666,4666,4644.8,4648.9,-22.4,-0.48%,0
12/28/2012,4651.8,4688.6,4651.7,4671.3,23.3,+0.50%,0
12/27/2012,4635.2,4653,4629.7,4648,12.8,+0.28%,0
12/24/2012,4625.7,4645.5,4625.7,4635.2,11.6,+0.25%,0
12/21/2012,4634.1,4658.7,4611.2,4623.6,-10.5,-0.23%,0
12/20/2012,4619.7,4643.5,4610.3,4634.1,16.3,+0.35%,0
12/19/2012,4604.3,4627.1,4603.3,4617.8,22.6,+0.49%,0
12/18/2012,4579.1,4610.3,4579.1,4595.2,21.8,+0.48%,0
12/17/2012,4583.1,4586.2,4569.4,4573.4,-9.7,-0.21%,0
12/14/2012,4582.8,4598.3,4579.8,4583.1,0.3,+0.01%,0
12/13/2012,4583.8,4592.2,4577.7,4582.8,-1,-0.02%,0
12/12/2012,4576,4603.5,4576,4583.8,7.8,+0.17%,0
12/11/2012,4557.9,4581,4557.9,4576,18.1,+0.40%,0
12/10/2012,4552.2,4571.7,4552.2,4557.9,6.1,+0.13%,0
12/07/2012,4516.1,4554.1,4515.6,4551.8,42.5,+0.94%,0
12/06/2012,4520.4,4528.8,4504.9,4509.3,-11.1,-0.25%,0
12/05/2012,4503.6,4525.1,4500.2,4520.4,16.8,+0.37%,0
12/04/2012,4531.5,4537,4502.1,4503.6,-27.9,-0.62%,0
12/03/2012,4506,4538.6,4506,4531.5,25.5,+0.57%,0
11/30/2012,4477.7,4514.2,4477.7,4506,28.3,+0.63%,0
11/29/2012,4447.1,4477.7,4445.5,4477.7,30.4,+0.68%,0
11/28/2012,4453.2,4453.2,4433,4447.3,-9.5,-0.21%,0
11/27/2012,4424.2,4461.7,4424,4456.8,32.6,+0.74%,0
11/26/2012,4413,4426,4413,4424.2,11.2,+0.25%,0
11/23/2012,4413.1,4413.2,4397.9,4413,-0.1,0.00%,0
11/22/2012,4376.2,4428.6,4374,4413.1,43.6,+1.00%,0
11/21/2012,4387.5,4389,4366.8,4369.5,-16.2,-0.37%,0
11/20/2012,4361.4,4391,4361.4,4385.7,24.3,+0.56%,0
11/19/2012,4345.1,4364.4,4340,4361.4,24.6,+0.57%,0
11/16/2012,4350.5,4351.8,4334.3,4336.8,-12.4,-0.29%,0
11/15/2012,4388.4,4388.4,4339,4349.2,-39.2,-0.89%,0
11/14/2012,4379.8,4395.6,4372,4388.4,8.6,+0.20%,0
11/13/2012,4446.1,4447.1,4379.8,4379.8,-68.2,-1.53%,0
11/12/2012,4458.5,4465.2,4442.9,4448,-14,-0.31%,0
11/09/2012,4483.8,4483.8,4436.6,4462,-21.8,-0.49%,0
11/08/2012,4516.5,4516.5,4459.9,4483.8,-32.7,-0.72%,0
11/07/2012,4484.8,4519.3,4482.8,4516.5,31.7,+0.71%,0
11/06/2012,4473,4490,4470.4,4484.8,10.7,+0.24%,0
11/05/2012,4457.4,4478,4436.2,4474.1,14,+0.31%,0
11/02/2012,4470.1,4486.4,4457.3,4460.1,2.5,+0.06%,0
11/01/2012,4517,4517,4457.6,4457.6,-59.4,-1.32%,0
10/31/2012,4492.4,4524.8,4492.1,4517,31.3,+0.70%,0
10/30/2012,4477.4,4498.9,4472.8,4485.7,8.8,+0.20%,0
10/29/2012,4475.4,4501.9,4475.2,4476.9,4.5,+0.10%,0
10/26/2012,4513.3,4526,4472.1,4472.4,-38.1,-0.84%,0
10/25/2012,4504.8,4518.8,4502.7,4510.5,4.7,+0.10%,0
10/24/2012,4543.1,4543.1,4501.7,4505.8,-37.3,-0.82%,0
10/23/2012,4539,4565,4537.2,4543.1,2.1,+0.05%,0
10/22/2012,4558.5,4559.2,4522.7,4541,-30.1,-0.66%,0
10/19/2012,4559.4,4571.8,4538,4571.1,11.7,+0.26%,0
10/18/2012,4567.7,4581.8,4547.1,4559.4,31.2,+0.69%,0
10/17/2012,4491.5,4536.8,4491.5,4528.2,36.7,+0.82%,0
10/16/2012,4483.4,4516.9,4483.4,4491.5,8.1,+0.18%,0
10/15/2012,4486.6,4492.7,4479.2,4483.4,-3.2,-0.07%,0
10/12/2012,4483.5,4496.1,4482.7,4486.6,3.1,+0.07%,0
10/11/2012,4490.7,4492.8,4460.4,4483.5,-7.2,-0.16%,0
10/10/2012,4498.3,4499,4476,4490.7,-14.6,-0.32%,0
10/09/2012,4483.9,4512.8,4482.8,4505.3,23.4,+0.52%,0
10/08/2012,4494.4,4495.8,4476.7,4481.9,-12.5,-0.28%,0
10/05/2012,4452.4,4495.8,4452.4,4494.4,42,+0.94%,0
10/04/2012,4438.6,4457.4,4436.7,4452.4,13.8,+0.31%,0
10/03/2012,4433,4454.6,4432.5,4438.6,5.6,+0.13%,0
