Time,Open,High,Low,Last,Change,%Chg,Volume
12/31/2019,6804.9,6804.9,6684.1,6684.1,-120.8,-1.78%,0
12/30/2019,6821.7,6824.7,6764.6,6804.9,-16.8,-0.25%,0
12/27/2019,6794.2,6822.1,6794.2,6821.7,27.5,+0.40%,0
12/24/2019,6785.1,6794.9,6776.2,6794.2,9.1,+0.13%,0
12/23/2019,6816.3,6816.3,6785.1,6785.1,-31.2,-0.46%,0
12/20/2019,6833.1,6842.8,6808.4,6816.3,-16.8,-0.25%,0
12/19/2019,6851.4,6872.8,6819.9,6833.1,-18.3,-0.27%,0
12/18/2019,6847.3,6863.8,6833.4,6851.4,4.1,+0.06%,0
12/17/2019,6849.7,6871.3,6839.1,6847.3,-2.4,-0.04%,0
12/16/2019,6741.6,6866.1,6741.6,6849.7,110,+1.63%,0
12/13/2019,6708.8,6753.1,6708.8,6739.7,30.9,+0.46%,0
12/12/2019,6752.6,6753,6701.2,6708.8,-43.8,-0.65%,0
12/11/2019,6706.9,6752.6,6706.9,6752.6,45.7,+0.68%,0
12/10/2019,6730,6734.3,6702.9,6706.9,-23.1,-0.34%,0
12/09/2019,6707,6740,6707,6730,23,+0.34%,0
12/06/2019,6683,6712.3,6681.8,6707,24,+0.36%,0
12/05/2019,6606.5,6684.6,6606.5,6683,76.5,+1.16%,0
12/04/2019,6712.3,6712.3,6590.1,6606.5,-105.8,-1.58%,0
12/03/2019,6862.3,6862.3,6703.7,6712.3,-150,-2.19%,0
12/02/2019,6846,6890,6840.6,6862.3,16.3,+0.24%,0
11/29/2019,6864,6893.7,6846,6846,-18,-0.26%,0
11/28/2019,6850.6,6879.5,6850.6,6864,13.4,+0.20%,0
11/27/2019,6787.5,6852.1,6787.5,6850.6,63.1,+0.93%,0
11/26/2019,6731.4,6797.6,6731.4,6787.5,56.1,+0.83%,0
11/25/2019,6712,6758,6712,6731.4,21.6,+0.32%,0
11/22/2019,6672.9,6725.1,6672.9,6709.8,36.9,+0.55%,0
11/21/2019,6722.4,6722.4,6637.3,6672.9,-49.5,-0.74%,0
11/20/2019,6814.2,6814.2,6714.9,6722.4,-91.8,-1.35%,0
11/19/2019,6766.8,6814.2,6755,6814.2,47.4,+0.70%,0
11/18/2019,6793.7,6799.2,6749.1,6766.8,-26.9,-0.40%,0
11/15/2019,6735.1,6798.7,6735.1,6793.7,58.6,+0.87%,0
11/14/2019,6698.4,6744.8,6687.7,6735.1,36.7,+0.55%,0
11/13/2019,6753,6766.2,6698.3,6698.4,-54.6,-0.81%,0
11/12/2019,6772.5,6779.3,6730.9,6753,-19.5,-0.29%,0
11/11/2019,6724.1,6772.5,6717.3,6772.5,48.4,+0.72%,0
11/08/2019,6726.6,6742.2,6706.1,6724.1,-2.5,-0.04%,0
11/07/2019,6660.2,6727.7,6659.7,6726.6,66.4,+1.00%,0
11/06/2019,6697.1,6715.2,6658.2,6660.2,-36.9,-0.55%,0
11/05/2019,6686.9,6725.9,6678.9,6697.1,10.2,+0.15%,0
11/04/2019,6669.1,6713.5,6669.1,6686.9,17.8,+0.27%,0
11/01/2019,6663.4,6671.7,6634.7,6669.1,5.7,+0.09%,0
10/31/2019,6689.5,6689.5,6639.8,6663.4,-26.1,-0.39%,0
10/30/2019,6745.4,6745.4,6680.2,6689.5,-55.9,-0.83%,0
10/29/2019,6740.7,6761.5,6735.7,6745.4,4.7,+0.07%,0
10/28/2019,6739.9,6766.2,6739.8,6740.7,1.5,+0.02%,0
10/25/2019,6693.6,6741.5,6693.6,6739.2,45.6,+0.68%,0
10/24/2019,6673.1,6715.2,6673.1,6693.6,20.5,+0.31%,0
10/23/2019,6672.2,6673.2,6635.7,6673.1,0.9,+0.01%,0
10/22/2019,6652.5,6680.4,6648.3,6672.2,19.7,+0.30%,0
10/21/2019,6649.7,6652.5,6612.4,6652.5,2.8,+0.04%,0
10/18/2019,6684.7,6684.7,6633.9,6649.7,-35,-0.52%,0
10/17/2019,6736.5,6737.4,6681.4,6684.7,-51.8,-0.77%,0
10/16/2019,6652,6737.8,6652,6736.5,84.5,+1.27%,0
10/15/2019,6642.6,6657.4,6621.9,6652,9.4,+0.14%,0
10/14/2019,6606.8,6676.2,6606.8,6642.6,35.8,+0.54%,0
10/11/2019,6547.1,6614.6,6547.1,6606.8,59.7,+0.91%,0
10/10/2019,6546.7,6570.9,6529.3,6547.1,0.4,+0.01%,0
10/09/2019,6593.4,6593.4,6520.3,6546.7,-46.7,-0.71%,0
10/08/2019,6563.6,6601.2,6563.6,6593.4,29.8,+0.45%,0
10/07/2019,6517.1,6564.9,6517.1,6563.6,46.5,+0.71%,0
10/04/2019,6493,6532.7,6489.9,6517.1,24.1,+0.37%,0
10/03/2019,6639.9,6639.9,6475.4,6493,-146.9,-2.21%,0
10/02/2019,6742.8,6742.8,6639.8,6639.9,-102.9,-1.53%,0
10/01/2019,6688.3,6743.7,6687.8,6742.8,54.5,+0.81%,0
09/30/2019,6715.9,6734.7,6688.3,6688.3,-27.8,-0.41%,0
09/27/2019,6677.6,6721.2,6677.6,6716.1,38.5,+0.58%,0
09/26/2019,6710.2,6720.8,6667.1,6677.6,-32.6,-0.49%,0
09/25/2019,6748.9,6748.9,6696.3,6710.2,-38.7,-0.57%,0
09/24/2019,6749.7,6764,6745.3,6748.9,-0.8,-0.01%,0
09/23/2019,6730.8,6770,6730.8,6749.7,18.9,+0.28%,0
09/20/2019,6717.5,6775.6,6717.5,6730.8,13.3,+0.20%,0
09/19/2019,6681.6,6742.9,6681.6,6717.5,35.9,+0.54%,0
09/18/2019,6695.3,6703.3,6673.8,6681.6,-13.7,-0.20%,0
09/17/2019,6673.5,6695.3,6649.1,6695.3,21.8,+0.33%,0
09/16/2019,6669.2,6688.5,6646.6,6673.5,4.3,+0.06%,0
09/13/2019,6654.9,6676.5,6653.7,6669.2,14.3,+0.21%,0
09/12/2019,6638,6687.4,6638,6654.9,16.9,+0.25%,0
09/11/2019,6614.1,6638.4,6614.1,6638,23.9,+0.36%,0
09/10/2019,6648,6654.8,6595.7,6614.1,-33.9,-0.51%,0
09/09/2019,6647.3,6659.7,6631.2,6648,0.7,+0.01%,0
09/06/2019,6613.2,6656.1,6613.2,6647.3,34.1,+0.52%,0
09/05/2019,6553,6622.8,6551,6613.2,60.2,+0.92%,0
09/04/2019,6573.4,6573.4,6503.9,6553,-20.4,-0.31%,0
09/03/2019,6573.4,6591.3,6554.3,6573.4,-6,-0.09%,0
09/02/2019,6604.2,6604.8,6558.3,6579.4,-24.8,-0.38%,0
08/30/2019,6507.4,6612.1,6507.4,6604.2,96.8,+1.49%,0
08/29/2019,6500.6,6510.9,6475.5,6507.4,6.8,+0.10%,0
08/28/2019,6471.2,6502,6462,6500.6,29.4,+0.45%,0
08/27/2019,6440.1,6483.1,6439.2,6471.2,31.1,+0.48%,0
08/26/2019,6523.1,6523.1,6409.8,6440.1,-83,-1.27%,0
08/23/2019,6501.8,6529.2,6495.3,6523.1,21.3,+0.33%,0
08/22/2019,6483.3,6521.3,6483.3,6501.8,18.5,+0.29%,0
08/21/2019,6545,6545,6466.6,6483.3,-61.7,-0.94%,0
08/20/2019,6467.4,6545,6467.4,6545,77.6,+1.20%,0
08/19/2019,6405.5,6468.4,6405.5,6467.4,61.9,+0.97%,0
08/16/2019,6408.1,6425.3,6396,6405.5,-2.6,-0.04%,0
08/15/2019,6595.9,6595.9,6405.6,6408.1,-187.8,-2.85%,0
08/14/2019,6568.5,6600.7,6555.9,6595.9,27.4,+0.42%,0
08/13/2019,6590.3,6593.3,6558.5,6568.5,-21.8,-0.33%,0
08/12/2019,6584.4,6590.3,6555.1,6590.3,5.9,+0.09%,0
08/09/2019,6568.1,6592.5,6562.5,6584.4,16.3,+0.25%,0
08/08/2019,6519.5,6568.1,6462.3,6568.1,48.6,+0.75%,0
08/07/2019,6478.1,6530.2,6467.5,6519.5,41.4,+0.64%,0
08/06/2019,6640.3,6640.3,6444.4,6478.1,-162.2,-2.44%,0
08/05/2019,6768.6,6768.6,6639.4,6640.3,-128.3,-1.90%,0
08/02/2019,6788.9,6788.9,6747.8,6768.6,-20.3,-0.30%,0
08/01/2019,6812.6,6812.6,6780.6,6788.9,-23.7,-0.35%,0
07/31/2019,6845.1,6845.1,6812.6,6812.6,-32.5,-0.47%,0
07/30/2019,6825.8,6875.5,6825.8,6845.1,19.3,+0.28%,0
07/29/2019,6793.4,6834.4,6793.4,6825.8,32.4,+0.48%,0
07/26/2019,6818,6818,6779.5,6793.4,-24.6,-0.36%,0
07/25/2019,6776.7,6818,6771.1,6818,41.3,+0.61%,0
07/24/2019,6724.6,6783.3,6724.6,6776.7,52.1,+0.77%,0
07/23/2019,6691.2,6730.7,6688.8,6724.6,33.4,+0.50%,0
07/22/2019,6700.3,6710.7,6673.2,6691.2,-9.1,-0.14%,0
07/19/2019,6649.1,6705.4,6646.6,6700.3,51.2,+0.77%,0
07/18/2019,6673.3,6673.3,6630.7,6649.1,-24.2,-0.36%,0
07/17/2019,6641,6675.4,6626.6,6673.3,32.3,+0.49%,0
07/16/2019,6653,6665.3,6641,6641,-12,-0.18%,0
07/15/2019,6694.9,6694.9,6638.5,6653,-43.5,-0.65%,0
07/12/2019,6716.1,6717.1,6687.7,6696.5,-19.6,-0.29%,0
07/11/2019,6689.8,6729.4,6686.1,6716.1,26.3,+0.39%,0
07/10/2019,6665.7,6718.2,6665.7,6689.8,24.1,+0.36%,0
07/09/2019,6672.2,6679,6641.4,6665.7,-6.5,-0.10%,0
07/08/2019,6740,6751.3,6672.2,6672.2,-79.1,-1.17%,0
07/05/2019,6718,6769.6,6714.8,6751.3,33.3,+0.50%,0
07/04/2019,6685.5,6731.9,6685.5,6718,32.5,+0.49%,0
07/03/2019,6653.2,6692.4,6641.7,6685.5,32.3,+0.49%,0
07/02/2019,6648.4,6686.5,6642.5,6653.2,5.1,+0.08%,0
07/01/2019,6618.8,6664,6618.8,6648.1,29.3,+0.44%,0
06/28/2019,6666.3,6670.1,6618.8,6618.8,-47.5,-0.71%,0
06/27/2019,6640.5,6666.3,6606.3,6666.3,25.8,+0.39%,0
06/26/2019,6658,6658,6637.4,6640.5,-17.5,-0.26%,0
06/25/2019,6665.4,6680.3,6647.3,6658,-7.4,-0.11%,0
06/24/2019,6650.8,6665.4,6617,6665.4,14.6,+0.22%,0
