date,open,high,low,close
2020/12/31,6682.4,6682.4,6587.1,6587.1
2020/12/30,6700.3,6700.3,6630.5,6682.4
2020/12/29,6664.8,6725.1,6664.8,6700.3
2020/12/24,6643.1,6704.9,6643.1,6664.8
2020/12/23,6599.6,6661.2,6599.6,6643.1
2020/12/22,6669.9,6669.9,6585.0,6599.6
2020/12/21,6675.5,6678.5,6635.8,6669.9
2020/12/18,6756.7,6765.7,6675.5,6675.5
2020/12/17,6679.2,6756.7,6679.2,6756.7
2020/12/16,6631.3,6719.6,6631.3,6679.2
2020/12/15,6660.2,6660.2,6625.7,6631.3
2020/12/14,6642.6,6693.7,6642.6,6660.2
2020/12/11,6683.1,6688.2,6632.3,6642.6
2020/12/10,6728.5,6728.5,6678.3,6683.1
2020/12/09,6687.7,6745.3,6687.7,6728.5
2020/12/08,6675.0,6699.4,6658.9,6687.7
2020/12/07,6634.3,6714.7,6634.3,6675.0
2020/12/04,6615.3,6650.1,6613.9,6634.1
2020/12/03,6590.2,6628.2,6590.2,6615.3
2020/12/02,6588.5,6616.0,6561.5,6590.2
2020/12/01,6517.8,6613.5,6511.4,6588.5
