date,open,high,low,close
2020/05/29,5851.1,5851.1,5755.7,5755.7
2020/05/28,5775.0,5922.0,5775.0,5851.1
2020/05/27,5780.0,5835.9,5713.9,5775.0
2020/05/26,5615.6,5780.0,5615.6,5780.0
2020/05/25,5497.0,5615.6,5497.0,5615.6
2020/05/22,5550.4,5569.7,5494.8,5497.0
2020/05/21,5573.0,5610.8,5545.2,5550.4
2020/05/20,5559.5,5587.1,5507.0,5573.0
2020/05/19,5460.5,5606.8,5460.5,5559.5
2020/05/18,5404.8,5486.3,5404.8,5460.5
2020/05/15,5328.7,5412.4,5328.7,5404.8
2020/05/14,5421.7,5421.7,5328.7,5328.7
2020/05/13,5403.0,5421.9,5301.9,5421.9
2020/05/12,5461.2,5461.4,5374.0,5403.0
2020/05/11,5391.1,5489.5,5391.1,5461.2
2020/05/08,5364.2,5428.0,5364.2,5391.1
2020/05/07,5384.6,5388.3,5347.3,5364.2
2020/05/06,5407.1,5408.6,5345.0,5384.6
2020/05/05,5319.8,5407.1,5319.8,5407.1
2020/05/04,5245.9,5328.4,5169.6,5319.8
2020/05/01,5522.4,5522.4,5245.9,5245.9
