date,open,high,low,close
2020/09/30,5952.0,5952.0,5815.9,5815.9
2020/09/29,5952.3,5995.4,5935.1,5952.1
2020/09/28,5964.9,5977.3,5941.0,5952.3
2020/09/25,5875.9,5973.7,5875.9,5964.9
2020/09/24,5923.9,5923.9,5824.8,5875.9
2020/09/23,5784.1,5933.3,5784.1,5923.9
2020/09/22,5822.6,5822.6,5763.2,5784.1
2020/09/21,5864.5,5868.5,5808.2,5822.6
2020/09/18,5883.2,5921.4,5864.5,5864.5
2020/09/17,5956.1,5956.5,5883.2,5883.2
2020/09/16,5894.8,5958.5,5894.8,5956.1
2020/09/15,5899.5,5919.2,5883.9,5894.8
2020/09/14,5859.4,5903.2,5859.4,5899.5
2020/09/11,5908.5,5908.5,5836.2,5859.4
2020/09/10,5878.6,5955.7,5874.8,5908.5
2020/09/09,6007.8,6007.8,5849.4,5878.6
2020/09/08,5944.8,6025.5,5944.8,6007.8
2020/09/07,5925.5,5958.9,5869.9,5944.8
2020/09/04,6112.6,6112.6,5918.8,5925.5
2020/09/03,6063.2,6130.8,6063.2,6112.6
2020/09/02,5953.4,6075.7,5953.4,6063.2
2020/09/01,6060.5,6060.5,5908.9,5953.4
