date,open,high,low,close
2012/03/30,4337.9,4361.1,4335.2,4335.2
2012/03/29,4338.5,4351.1,4328.7,4337.9
2012/03/28,4297.9,4346.9,4294.8,4343.5
2012/03/27,4262.8,4308.4,4262.8,4301.3
2012/03/26,4270.3,4289.8,4262.8,4262.8
2012/03/23,4273.7,4277.8,4238.4,4270.4
2012/03/22,4254.3,4282.7,4250.8,4273.7
2012/03/21,4275.0,4275.2,4242.8,4254.3
2012/03/20,4290.9,4292.7,4263.1,4275.0
2012/03/19,4282.7,4309.0,4281.4,4290.8
2012/03/16,4277.8,4283.6,4263.8,4276.2
2012/03/15,4287.2,4287.2,4264.8,4277.8
2012/03/14,4247.6,4294.9,4247.6,4287.2
2012/03/13,4196.7,4253.4,4196.7,4247.6
2012/03/12,4215.1,4215.3,4193.9,4196.7
2012/03/09,4171.0,4215.9,4171.0,4212.0
2012/03/08,4153.3,4177.1,4146.4,4171.0
2012/03/07,4194.0,4194.0,4143.7,4143.7
2012/03/06,4254.4,4254.4,4201.9,4204.7
2012/03/05,4269.0,4273.6,4250.7,4263.0
2012/03/02,4263.9,4290.0,4263.7,4273.1
2012/03/01,4298.5,4298.5,4248.0,4255.5
