date,open,high,low,close
2012/09/28,4383.4,4394.6,4368.5,4387.0
2012/09/27,4357.5,4384.7,4336.9,4384.2
2012/09/26,4363.7,4365.9,4348.8,4361.6
2012/09/25,4385.5,4385.5,4367.3,4372.9
2012/09/24,4408.3,4408.3,4375.0,4385.5
2012/09/21,4397.8,4418.4,4396.8,4408.3
2012/09/20,4413.3,4414.3,4394.4,4397.2
2012/09/19,4394.7,4421.0,4386.2,4418.4
2012/09/18,4402.5,4404.4,4383.3,4394.7
2012/09/17,4404.2,4412.2,4392.1,4402.5
2012/09/14,4353.7,4398.3,4353.7,4390.0
2012/09/13,4361.3,4361.3,4337.2,4339.4
2012/09/12,4325.8,4364.8,4325.8,4361.3
2012/09/11,4333.7,4333.7,4316.7,4325.8
2012/09/10,4325.8,4342.3,4317.3,4333.8
2012/09/07,4312.9,4358.3,4312.9,4325.8
2012/09/06,4278.8,4327.1,4278.8,4312.9
2012/09/05,4303.5,4303.5,4261.2,4278.8
2012/09/04,4329.7,4334.5,4293.9,4303.5
2012/09/03,4310.0,4337.6,4287.4,4329.7
