date,open,high,low,close
2017/07/31,5702.8,5745.2,5701.8,5720.6
2017/07/28,5785.0,5785.0,5692.8,5702.8
2017/07/27,5776.6,5799.6,5776.6,5785.0
2017/07/26,5726.6,5787.6,5726.6,5776.6
2017/07/25,5688.1,5742.8,5688.1,5726.6
2017/07/24,5722.8,5722.8,5653.3,5688.1
2017/07/21,5761.5,5761.5,5709.5,5722.8
2017/07/20,5732.1,5770.8,5732.1,5761.5
2017/07/19,5687.4,5743.8,5687.4,5732.1
2017/07/18,5755.5,5761.6,5678.7,5687.4
2017/07/17,5765.1,5773.7,5735.5,5755.5
2017/07/14,5736.8,5778.8,5736.8,5765.1
2017/07/13,5673.8,5742.7,5673.8,5736.8
2017/07/12,5728.9,5730.3,5665.6,5673.8
2017/07/11,5724.4,5744.5,5700.7,5728.9
2017/07/10,5703.6,5747.5,5703.6,5724.4
2017/07/07,5758.8,5758.8,5676.0,5703.6
2017/07/06,5763.3,5771.6,5741.7,5758.8
2017/07/05,5783.8,5790.4,5755.2,5763.3
2017/07/04,5684.5,5792.0,5684.5,5783.8
2017/07/03,5721.5,5729.6,5682.9,5684.5
