date,open,high,low,close
2017/06/30,5818.1,5818.1,5718.1,5721.5
2017/06/29,5755.7,5819.7,5755.7,5818.1
2017/06/28,5714.2,5757.3,5702.7,5755.7
2017/06/27,5720.2,5721.1,5685.2,5714.2
2017/06/26,5715.9,5749.0,5711.0,5720.2
2017/06/23,5706.0,5723.3,5692.9,5715.9
2017/06/22,5665.7,5723.9,5665.7,5706.0
2017/06/21,5757.3,5757.3,5665.3,5665.7
2017/06/20,5805.2,5809.3,5757.3,5757.3
2017/06/19,5774.0,5806.4,5769.4,5805.2
2017/06/16,5760.8,5794.5,5760.8,5774.0
2017/06/15,5833.9,5833.9,5752.2,5763.2
2017/06/14,5772.8,5836.4,5772.8,5833.9
2017/06/13,5677.8,5772.8,5677.8,5772.8
2017/06/09,5676.6,5691.8,5649.7,5677.8
2017/06/08,5667.2,5679.1,5629.8,5676.6
2017/06/07,5667.5,5682.5,5642.6,5667.2
2017/06/06,5754.9,5754.9,5667.5,5667.5
2017/06/05,5788.1,5788.1,5737.4,5754.9
2017/06/02,5738.1,5793.7,5738.1,5788.1
2017/06/01,5724.6,5738.6,5709.4,5738.1
