date,open,high,low,close
2017/08/31,5669.7,5714.5,5669.7,5714.5
2017/08/30,5669.0,5691.3,5654.9,5669.7
2017/08/29,5709.7,5709.7,5645.8,5669.0
2017/08/28,5743.9,5746.3,5699.6,5709.9
2017/08/25,5745.5,5750.5,5721.3,5743.9
2017/08/24,5737.2,5753.7,5716.9,5745.5
2017/08/23,5750.1,5781.4,5723.5,5737.2
2017/08/22,5728.2,5750.9,5728.1,5750.1
2017/08/21,5747.1,5747.1,5699.0,5725.9
2017/08/18,5779.2,5779.2,5711.0,5747.1
2017/08/17,5785.1,5806.3,5765.8,5779.2
2017/08/16,5757.5,5785.1,5728.8,5785.1
2017/08/15,5730.4,5777.2,5730.4,5757.5
2017/08/14,5693.1,5735.7,5693.1,5730.4
2017/08/11,5760.9,5760.9,5674.0,5693.1
2017/08/10,5765.7,5795.5,5747.0,5760.9
2017/08/09,5743.8,5777.2,5742.8,5765.7
2017/08/08,5773.6,5792.0,5722.1,5743.8
2017/08/07,5720.6,5781.6,5720.6,5773.6
2017/08/04,5735.1,5738.6,5709.3,5720.6
2017/08/03,5744.2,5744.6,5706.2,5735.1
2017/08/02,5772.4,5779.6,5738.1,5744.2
2017/08/01,5720.6,5774.5,5720.6,5772.4
