date,open,high,low,close
2017/10/31,5919.1,5934.5,5908.3,5909.0
2017/10/30,5903.6,5927.7,5903.6,5919.1
2017/10/27,5916.3,5938.1,5859.2,5903.2
2017/10/26,5905.6,5916.3,5884.6,5916.3
2017/10/25,5897.6,5919.9,5895.1,5905.6
2017/10/24,5894.0,5908.8,5885.4,5897.6
2017/10/23,5907.0,5925.3,5892.3,5894.0
2017/10/20,5896.1,5924.9,5868.6,5907.0
2017/10/19,5890.5,5910.2,5884.9,5896.1
2017/10/18,5889.6,5906.1,5886.7,5890.5
2017/10/17,5846.8,5896.3,5846.8,5889.6
2017/10/16,5814.2,5856.3,5814.2,5846.8
2017/10/13,5794.5,5825.2,5792.7,5814.2
2017/10/12,5772.1,5794.5,5763.7,5794.5
2017/10/11,5738.1,5778.1,5738.1,5772.1
2017/10/10,5739.3,5750.3,5720.4,5738.1
2017/10/09,5710.8,5759.2,5710.8,5739.3
2017/10/06,5651.8,5710.7,5651.8,5710.7
2017/10/05,5652.1,5673.6,5650.9,5651.8
2017/10/04,5701.4,5702.8,5651.1,5652.1
2017/10/03,5729.3,5736.4,5692.7,5701.4
2017/10/02,5681.6,5751.0,5681.6,5729.3
