date,open,high,low,close
2017/04/28,5921.5,5924.1,5894.8,5924.1
2017/04/27,5912.0,5924.2,5906.4,5921.5
2017/04/26,5871.8,5923.9,5871.8,5912.0
2017/04/24,5854.1,5894.7,5853.8,5871.8
2017/04/21,5821.4,5870.4,5821.4,5854.1
2017/04/20,5804.0,5826.1,5801.2,5821.4
2017/04/19,5836.7,5836.7,5790.6,5804.0
2017/04/18,5889.9,5889.9,5820.4,5836.7
2017/04/13,5934.0,5934.0,5881.3,5889.9
2017/04/12,5929.3,5944.2,5913.6,5934.0
2017/04/11,5912.9,5950.1,5898.1,5929.3
2017/04/10,5862.5,5912.9,5862.5,5912.9
2017/04/07,5856.3,5888.6,5838.3,5862.5
2017/04/06,5876.2,5876.2,5833.0,5856.3
2017/04/05,5856.6,5881.0,5846.2,5876.2
2017/04/04,5872.7,5874.0,5849.2,5856.6
2017/04/03,5864.9,5873.4,5840.9,5872.7
