date,open,high,low,close
2017/01/31,5661.5,5661.5,5606.2,5620.9
2017/01/30,5714.0,5714.0,5643.5,5661.5
2017/01/27,5671.5,5714.2,5668.5,5714.0
2017/01/25,5650.1,5690.5,5650.1,5671.5
2017/01/24,5611.0,5653.8,5611.0,5650.1
2017/01/23,5654.8,5686.9,5604.3,5611.0
2017/01/20,5692.2,5692.2,5646.6,5654.8
2017/01/19,5678.8,5720.9,5676.4,5692.2
2017/01/18,5699.4,5699.4,5657.0,5678.8
2017/01/17,5748.4,5748.4,5695.2,5699.4
2017/01/16,5721.1,5763.4,5721.1,5748.4
2017/01/13,5766.9,5770.1,5710.0,5721.1
2017/01/12,5771.5,5801.2,5758.8,5766.9
2017/01/11,5760.7,5791.6,5760.7,5771.5
2017/01/10,5807.4,5807.4,5746.7,5760.7
2017/01/09,5755.6,5827.5,5754.6,5807.4
2017/01/06,5753.3,5765.2,5747.0,5755.6
2017/01/05,5736.4,5759.5,5736.4,5753.3
2017/01/04,5733.2,5741.7,5728.6,5736.4
2017/01/03,5667.4,5736.9,5667.4,5733.2
