date,open,high,low,close
2017/02/28,5724.2,5755.6,5712.2,5712.2
2017/02/27,5739.0,5743.5,5710.1,5724.2
2017/02/24,5784.7,5784.7,5729.9,5739.0
2017/02/23,5805.1,5805.1,5764.3,5784.7
2017/02/22,5791.0,5805.1,5780.4,5805.1
2017/02/21,5795.1,5795.1,5774.1,5791.0
2017/02/20,5805.8,5810.1,5778.9,5795.1
2017/02/17,5816.3,5819.9,5799.6,5805.8
2017/02/16,5809.1,5833.2,5789.8,5816.3
2017/02/15,5755.2,5817.3,5755.2,5809.1
2017/02/14,5760.7,5794.9,5754.5,5755.2
2017/02/13,5720.6,5764.1,5720.6,5760.7
2017/02/10,5664.6,5721.4,5664.6,5720.6
2017/02/09,5651.4,5671.4,5635.0,5664.6
2017/02/08,5621.9,5655.6,5620.4,5651.4
2017/02/07,5615.6,5621.9,5582.7,5621.9
2017/02/06,5621.6,5659.1,5609.4,5615.6
2017/02/03,5645.3,5662.8,5617.2,5621.6
2017/02/02,5653.2,5670.6,5630.5,5645.4
2017/02/01,5620.9,5653.5,5611.4,5653.2
