url_id,url,date,title,summary,extraction_date,author
93d3358788f3f1e5d350d71256652e99,https://www.afr.com/markets/equity-markets/asx-seen-edging-lower-into-final-session-of-2017-20171229-h0b50y,2017/12/29,ASX seen edging lower into final session of 2017,Australian shares are poised to start the final session of the year slightly lower despite gains in oil and copper.,19-04-2021,Timothy Moore
0b5cca2955ead6e42f873c873e683fa1,https://www.afr.com/markets/equity-markets/asx-poised-for-modest-opening-gain-20171228-h0aqr7,2017/12/28,ASX poised for modest opening gain,"Australian shares are set to edge higher at the open, following Wall Street's lead in holiday-thinned trading.",19-04-2021,Timothy Moore
0ed805479b5797d7e237659b6039467c,https://www.afr.com/markets/equity-markets/asx-poised-to-lift-on-commodities-20171227-h0ads7,2017/12/27,ASX poised to lift on commodities,"Both oil and gold were higher overnight, putting the ASX in position to open higher. $A steady.",19-04-2021,Timothy Moore
4e43c680aeb9ff456f9d6aeb8909bce8,https://www.afr.com/markets/equity-markets/australian-shares-to-open-firmer-in-last-prechristmas-trading-day-20171221-h08k2m,2017/12/22,Australian shares to open firmer in last pre-Christmas trading day ,"Australian shares appear set to open firmer in the last trading day before the four-day Christmas holiday.
",19-04-2021,Will Willitts
60dded3c926510628cf315cd45e40e0a,https://www.afr.com/markets/equity-markets/asx-futures-lower-miners-rise-overseas-20171221-h089rm,2017/12/21,"ASX futures lower, miners rise overseas",Australian shares appear poised to fall at the open but gains in metals as well as miners overseas could check those losses.,19-04-2021,Timothy Moore
874e2f885e6b476af52e1b2810c58023,https://www.afr.com/markets/equity-markets/asxs-santa-rally-faces-wall-st-headwinds-20171220-h07lj4,2017/12/20,ASX's Santa rally seen hit by Wall St retreat,"As US tax cuts edge closer to reality, Wall St investors hit pause and that could dent a Santa rally for Australian shares.",19-04-2021,Timothy Moore
646361b75e0f9a8ff57a6f1bb72feeaf,https://www.afr.com/markets/equity-markets/asx-poised-to-lift-as-wall-st-rallies-nasdaq-tops-7000-for-first-time-20171219-h06vbi,2017/12/19,"ASX poised to lift as Wall St rallies, Nasdaq tops 7000 for first time",Australian shares are poised to open higher with the promise of tax cuts lifting Wall Street to fresh records.,19-04-2021,Timothy Moore
58db3d04805cd6a3c809715335ff4d90,https://www.afr.com/markets/equity-markets/asx-poised-to-rise-on-gains-from-wall-st-buoyed-by-republican-tax-cut-plan-20171216-h05qb4,2017/12/18,"ASX poised to rise on gains from Wall St, buoyed by Republican tax cut plan ",Australian shares are set to open higher amid tax-cut optimism in the US and New York gains for both BHP and Rio Tinto.,19-04-2021,Timothy Moore
e08c9358a2cd3445c46c2330dcf8dcc5,https://www.afr.com/markets/equity-markets/asx-to-edge-higher-wall-st-fluctuates-20171215-h04ztk,2017/12/15,ASX futures poised to slip at open as Wall St slides on tax debate,"Australian shares are poised to dip at the open, amid heightened concern about the US tax-cut plan. $A extends advance.",19-04-2021,Timothy Moore
e6fa4abe978f58c7ac58019302e162c6,https://www.afr.com/markets/equity-markets/asx-futures-follow-wall-st-higher-a-leaps-20171214-h048pa,2017/12/14,"ASX futures follow Wall St higher, then lower; $A leaps","Australian shares are heading toward a higher open, paced by gains on Wall Street. $A tops US76¢.",19-04-2021,Timothy Moore
e4dc5a6ccebdaef7b5cee6504ca2320e,https://www.afr.com/markets/equity-markets/asx-poised-to-edge-higher-wall-st-rallies-on-financials-20171213-h03j74,2017/12/13,ASX seen flat even as Wall St rallies to record high on financials,"The Dow and S&P 500 climbed to record highs, though they pared some gains into the close. $A up on Westfield.",19-04-2021,Timothy Moore
bc5d5e33858c3e582c8cd5b6aa52bd0b,https://www.afr.com/markets/equity-markets/asx-set-to-rise-as-sp-500-heads-toward-record-close-20171212-h02ufc,2017/12/12,ASX set to rise as S&P 500 heads toward record close,"Australian shares are poised to rise, buoyed by gains on Wall St. Base metals, oil higher. BHP, Rio up in New York. $A advances.",19-04-2021,Timothy Moore
b788f27650adde8b679ddf8dc88923dd,https://www.afr.com/markets/equity-markets/asx-set-to-rise-as-fed-poised-to-lift-us-rates-20171209-h01q58,2017/12/11,ASX set to rise as Fed poised to lift US rates,"Australian shares are set to open higher, building on Friday's advance, as overseas markets closed up. The $A is steady.",19-04-2021,Timothy Moore
ceeb5ee10296d6c5f22ea7b3cf1a2949,https://www.afr.com/markets/equity-markets/asx-seen-higher-on-wall-st-rebound-a-extends-retreat-20171208-h00zwh,2017/12/08,"ASX seen higher on Wall St rebound, $A extends retreat","Australian shares are poised to open higher as Wall Street rebounded in a broad rally, with techs recovering. $A slides.",19-04-2021,Timothy Moore
097630ec12a8dc9c08ec5e1e9316b26e,https://www.afr.com/markets/equity-markets/asx-poised-to-rise-wall-st-hovers-20171207-h007y5,2017/12/07,"ASX poised to rise, Wall St hovers","Australian shares are set to open higher, amid choppy overseas trading. Copper edges higher, iron ore drops. $A lower.",19-04-2021,Timothy Moore
2bedb18579178941dce2356e6c0bac5a,https://www.afr.com/markets/equity-markets/asx-poised-to-retreat-copper-hammered-20171206-gzzgyy,2017/12/06,"ASX poised to retreat, copper hammered","Australian shares are set to open lower, paced by BHP and Rio as copper was hammered in London trading. $A flat.",19-04-2021,Timothy Moore
c27e8155e0a8c096b81525c3bffcb563,https://www.afr.com/markets/equity-markets/asx-to-drift-lower-ahead-of-data-rba-decision-20171205-gzyohz,2017/12/05,"ASX seen lower ahead of data, RBA decision",Australian shares are set to open lower ahead of the RBA's final meeting of 2017. Techs weigh on Wall St. Iron ore bulls run.,19-04-2021,Timothy Moore
0c01622f34a5392d59ea2070f5816f7f,https://www.afr.com/markets/equity-markets/asx-could-get-early-commodity-boost-20171202-gzxafx,2017/12/04,ASX could get early commodity boost,"Australian shares could get an early boost to the week from a positive weekend for base metals, oil and iron ore.",19-04-2021,Timothy Moore
e33901203c5cdb065de257d34006b54d,https://www.afr.com/markets/equity-markets/asx-to-lift-as-dow-surges-higher-on-us-tax-cut-bets-20171201-gzwege,2017/12/01,ASX to lift as Dow surges higher on US tax cut bets,Australian shares are poised to rise to start the month amid a broad rally on Wall Street. ASX futures +22pts.,19-04-2021,Timothy Moore
