url_id,url,date,title,summary,extraction_date,author
4460d203bbd5344acab7b1798bea15f8,https://www.afr.com/markets/equity-markets/asx-to-slide-amid-global-selloff-cpi-ahead-20180131-h0qwk8,2018/01/31,"ASX to slide amid global selloff, CPI ahead",Australian shares are expected to extend their slide as investors turn defensive. CPI data and the Fed ahead.,19-04-2021,Timothy Moore
bd5f28c77d11717132b465cdccb488a2,https://www.afr.com/markets/equity-markets/asx-to-open-lower-wall-st-slips-global-yields-rise-20180130-h0q9o2,2018/01/30,"ASX to open lower, Wall St slips, global yields rise",Australian shares are poised to open lower as Wall Street eased ahead of a Fed policy meeting and as more earnings are awaited.,19-04-2021,Timothy Moore
618cbbf3c4129c977e34e97faf43bf09,https://www.afr.com/markets/equity-markets/asx-poised-to-shoot-higher-as-global-earnings-surge-on-earnings-20180127-h0p4bg,2018/01/29,ASX poised to shoot higher as global earnings surge on earnings,"Australian stocks are poised to open higher, buoyed by a global rally sparked by yet more strong earnings and positive outlooks.",19-04-2021,Timothy Moore
633aa361b91ed9d2de151e56259c602a,https://www.afr.com/markets/equity-markets/asx-poised-to-fall-sp-500-lower-20180125-h0nxwd,2018/01/25,"ASX poised to fall, Wall St mixed",Australian shares are poised to open lower following a slide across Europe and a mixed day on Wall Street.,19-04-2021,Timothy Moore
5cd3ba3765815f6f620fa6a7f8b887f3,https://www.afr.com/markets/equity-markets/asx-futures-higher-miners-may-drag-on-base-metals-20180124-h0n9qs,2018/01/24,ASX futures higher; miners may drag on base metals,"Australian stock futures are pointing to a modestly higher open, even though the US listed shares of both BHP and Rio are lower.",19-04-2021,Timothy Moore
ab08ccd6708d584fbd08851398f01095,https://www.afr.com/markets/equity-markets/asx-poised-to-rise-on-wall-st-20180123-h0mkpv,2018/01/23,"ASX poised to rise as Dow, S&P 500 rise to records","Australian shares are poised to lift at the open as Wall St gains. $A, gold, oil and iron ore little changed.",19-04-2021,Timothy Moore
b2b1dc43ba9d33756180b797e97b1938,https://www.afr.com/markets/equity-markets/asx-poised-to-lift-as-wall-st-powers-higher-iron-ore-rebounds-20180120-h0le9n,2018/01/22,"ASX poised to lift as Wall St powers higher, iron ore rebounds",Australian shares are poised to lift as the S&P 500 closed at a record high. Iron ore rebounds. The Australian dollar is flat. ,19-04-2021,Timothy Moore
2d870e63bfc7bcc9d6088bf5effcc41f,https://www.afr.com/markets/equity-markets/asx-to-open-higher-wall-st-rally-pauses-20180119-h0kok1,2018/01/19,"ASX to open higher, Wall St rally pauses","Australian shares are poised to open higher, despite a downward drift on Wall Street. $A hovers near US80¢.",19-04-2021,Timothy Moore
12d54e7b11aa80286f37a9bb57b8a6ba,https://www.afr.com/markets/equity-markets/asx-poised-for-flat-open-wall-st-rallies-on-earnings-20180118-h0k066,2018/01/18,"ASX poised to edge higher, Wall St rallies on earnings","Australian stocks are poised to edge higher, as Wall Street renewed its earnings rally. $A tops US80¢.",19-04-2021,Timothy Moore
9c176adca1cb73b21ae3a64902bd7909,https://www.afr.com/markets/equity-markets/asx-to-open-flat-as-metals-miners-drop-on-greenback-rebound-20180117-h0jeax,2018/01/17,"ASX to drop as metals, miners hammered","Australian shares are poised to fall sharply, as base metals retreated on a US dollar rebound. Wall St surge proves short lived.",19-04-2021,Timothy Moore
deb1bdb94f9af1bdcef5b63770c979d3,https://www.afr.com/markets/equity-markets/asx-to-slide-at-open-europe-drifts-us-closed-20180116-h0iral,2018/01/16,"ASX to slide at open, Europe drifts, US closed","Australian stocks are poised to slide at the open, reflecting a pause in Europe with Wall Street closed. $A surges on $US retreat.",19-04-2021,Timothy Moore
86a004364b633b22cb84b2ae22d0dc33,https://www.afr.com/markets/equity-markets/asx-seen-higher-as-wall-st-bulls-break-into-run-20180113-h0hrsv,2018/01/15,ASX seen higher as Wall St bulls break into run,"Australian shares are poised to start the week higher, ahead of a key jobs report, as bulls run ever harder on Wall Street.",19-04-2021,Timothy Moore
02bfca4bd0bbc32dfbc51873ed62f23d,https://www.afr.com/markets/equity-markets/asx-could-lift-on-oil-wall-st-advance-20180112-h0h3fa,2018/01/12,"ASX set to lift on oil, Wall St advance, $A approaches US79¢ mark",Australian shares could advance if energy shares follow their US counterparts after oil reached a three-year high. $A higher.,19-04-2021,Timothy Moore
aeee73a6b04bfdb939f3f867a536d13c,https://www.afr.com/markets/equity-markets/asx-follows-wall-st-lower-a-edges-higher-20180111-h0gj6p,2018/01/11,"ASX follows Wall St lower, US bonds retrace yield spike","Australian shares are set to slide, following Wall Street's lead, after a spike in global bond rates.",19-04-2021,Timothy Moore
