url_id,url,date,title,summary,extraction_date,author
44a3157aa952215064a5b2b32e6c4ec5,https://www.afr.com/markets/equity-markets/asx-set-for-strong-finish-to-week-20180928-h15z4p,2018/09/28,ASX set for strong finish to week,"Australian shares are poised to open higher, bolstered by a tech-paced rally on Wall St. Base metals drop. $A retreats.",18-04-2021,Timothy Moore
1f64a2905c6a1ae49fa3b5b800823a7a,https://www.afr.com/markets/equity-markets/asx-futures-edge-higher-ahead-of-fed-decision-20180927-h15x4e,2018/09/27,ASX futures lower as Wall St drops on Fed rate outlook,"Australian shares are poised to open lower as the Fed's rate plans put the US economic expansion at risk.
",18-04-2021,Timothy Moore
16b4c31138cc75d8305f82855c5342ac,https://www.afr.com/markets/equity-markets/asx-poised-for-flat-open-fed-awaited-20180926-h15v80,2018/09/26,"ASX poised for flat open, Fed awaited","Australian shares are set to open little changed, reflecting narrow trading in New York as investors await the Federal Reserve.",18-04-2021,Timothy Moore
17beac683b4a22fabdcc7e4cab3ff9b6,https://www.afr.com/markets/equity-markets/asx-poised-to-edge-lower-a-slips-20180925-h15td7,2018/09/25,"ASX poised to edge lower, $A slips","Australian shares are poised to open lower, extending yesterday's losses, amid simmering US/China trade tensions.",18-04-2021,Timothy Moore
67c6304e52a138d66aab308cdad0d3ac,https://www.afr.com/markets/equity-markets/asx-set-to-head-lower-open-despite-base-metals-rally-20180922-h15px2,2018/09/24,"ASX set to head lower at open, despite base metals rally","Australian shares appear poised to open lower, as Wall Street latest rally faded. The $A is holding near US73¢.",18-04-2021,Timothy Moore
efd5119aebb64a4f3cf22105466753af,https://www.afr.com/markets/equity-markets/asx-poised-to-rise-in-traderelief-rally-20180921-h15nyc,2018/09/21,ASX poised to rise in trade-relief rally,Australian shares are poised to rebound in line with global markets as trade tensions between China and the US eased.,18-04-2021,Timothy Moore
ec3ebcdda2cfe330bf34aff3ba747bd3,https://www.afr.com/markets/equity-markets/asx-poised-to-edge-lower-at-open-20180920-h15m40,2018/09/20,ASX poised to edge lower at open,"Australian shares are poised to open lower, amid mixed trading on Wall Street. ASX futures were down 4 points at 8.10am AEST.",18-04-2021,Timothy Moore
b036fba487f535cd80eea8c354ba38d4,https://www.afr.com/markets/equity-markets/asx-poised-to-rally-uschina-trade-fears-fade-20180919-h15kc0,2018/09/19,"ASX poised to rally, US/China trade fears fade","Australian shares are poised to rally, following Wall Street, as trade tensions between the US and China escalated less than feared.",18-04-2021,Timothy Moore
020385724af86c70ef8ed276b117e506,https://www.afr.com/markets/equity-markets/asx-futures-point-to-higher-open-wall-st-drops-on-new-trump-tariff-threat-20180918-h15if5,2018/09/18,"ASX futures drop, Wall St drops on new Trump tariff threat","Australian stocks are set to open lower, with futures tumbling after Trump's planned tariff announcement.",18-04-2021,Timothy Moore
f4041482c640586e7a7e61601e6feb99,https://www.afr.com/markets/equity-markets/asx-set-to-open-flat-as-trade-angst-returns-20180915-h15exg,2018/09/17,ASX set to open higher as trade angst returns,"Australian stocks are poised to edge higher at the open, though gains could be checked by renewed US/China trade worries.",18-04-2021,Timothy Moore
67ff34a384aed1d7a59d5ee29a69c602,https://www.afr.com/markets/equity-markets/btb-template-20180914-h15cxv,2018/09/14,Australian shares poised to open higher,"Australian shares are poised to rise at the open, following Wall Street's lead as Apple paced the Dow higher.",18-04-2021,Timothy Moore
50f0c7c182a6900ae8d9378121394518,https://www.afr.com/markets/equity-markets/asx-poised-to-open-lower-a-rebounds-20180913-h15ay6,2018/09/13,"ASX poised to open lower, $A rebounds",Australian shares are set to drop at the open. The $A bounced as bearish sentiment embraced the greenback.,18-04-2021,Timothy Moore
1d31c1567d15ab993e8c7d8493b761fa,https://www.afr.com/markets/equity-markets/asx-futures-point-to-opening-dip-20180912-h1597k,2018/09/12,ASX futures point to opening dip,"Australian stocks are poised to edge lower at the open, reflecting weakness in base metals and miners.",18-04-2021,Timothy Moore
91803f307d387c8be21cfe5378ad617b,https://www.afr.com/markets/equity-markets/asx-poised-to-edge-lower-on-trade-concerns-20180911-h157bf,2018/09/11,ASX poised to open flat on trade concerns,"Australian shares are poised to open flat, as concerns about the China/US trade spat keeps investors defensive.",18-04-2021,Timothy Moore
1afc9ac98bcaeb96372124afb27b2fb5,https://www.afr.com/markets/equity-markets/asx-poised-to-extend-losses-into-third-week-20180908-h153q1,2018/09/10,ASX poised to extend losses into third week,"Australian shares are poised to fall at the open, reflecting renewed and heightened threats by Donald Trump against Chinese goods. The $A is tipped to fall further after hitting two-year lows.",18-04-2021,Timothy Moore
37cd153b0c5ad3dc528e11b8a0305620,https://www.afr.com/markets/equity-markets/asx-to-extend-losses-into-seventh-session-20180907-h151rj,2018/09/07,ASX to extend losses into seventh session,"Australian shares, which were hammered on Thursday, are poised to drop at the open. The Aussie steadied.",18-04-2021,Timothy Moore
