date,open,high,low,close
2010/03/31,4916.8,4928.9,4875.5,4875.5
2010/03/30,4897.3,4924.2,4897.3,4916.8
2010/03/29,4896.9,4912.0,4890.4,4897.3
2010/03/26,4885.4,4896.9,4834.8,4896.9
2010/03/25,4891.5,4891.5,4871.9,4885.4
2010/03/24,4874.8,4911.1,4874.8,4891.5
2010/03/23,4830.2,4882.4,4830.2,4874.8
2010/03/22,4872.2,4872.2,4826.9,4830.2
2010/03/19,4863.1,4875.8,4854.6,4872.2
2010/03/18,4853.2,4874.4,4846.8,4863.1
2010/03/17,4797.2,4853.2,4797.2,4853.2
2010/03/16,4784.1,4806.4,4781.1,4797.2
2010/03/15,4818.1,4836.0,4784.1,4784.1
2010/03/12,4814.2,4835.9,4812.2,4818.1
2010/03/11,4820.0,4840.1,4805.4,4814.2
2010/03/10,4820.1,4837.6,4804.3,4820.0
2010/03/09,4807.9,4828.1,4791.1,4820.1
2010/03/08,4767.2,4828.5,4767.2,4807.9
2010/03/05,4750.5,4780.4,4750.2,4767.2
2010/03/04,4735.7,4750.7,4724.8,4750.5
2010/03/03,4701.9,4745.7,4701.9,4735.7
2010/03/02,4686.5,4716.2,4683.5,4701.9
2010/03/01,4637.7,4686.5,4632.5,4686.5
