date,open,high,low,close
2010/09/30,4645.0,4649.1,4582.9,4582.9
2010/09/29,4669.8,4698.0,4643.0,4645.0
2010/09/28,4675.4,4682.3,4657.2,4669.8
2010/09/27,4601.9,4681.1,4601.9,4675.4
2010/09/24,4633.6,4633.6,4585.1,4601.9
2010/09/23,4625.2,4634.8,4609.6,4633.6
2010/09/22,4617.5,4641.2,4616.2,4625.2
2010/09/21,4631.3,4664.5,4617.5,4617.5
2010/09/20,4638.9,4638.9,4604.8,4631.3
2010/09/17,4605.3,4648.2,4605.3,4638.9
2010/09/16,4661.5,4667.6,4603.6,4605.3
2010/09/15,4626.5,4670.1,4626.5,4661.5
2010/09/14,4614.9,4649.1,4614.9,4626.5
2010/09/13,4560.3,4622.7,4560.3,4614.9
2010/09/10,4582.2,4598.5,4560.3,4560.3
2010/09/09,4537.2,4593.0,4537.2,4582.2
2010/09/08,4573.2,4573.2,4532.6,4537.2
2010/09/07,4575.5,4588.8,4555.3,4573.2
2010/09/06,4541.2,4575.5,4541.2,4575.5
2010/09/03,4532.7,4558.7,4527.3,4541.2
2010/09/02,4495.7,4552.7,4495.7,4532.7
2010/09/01,4404.2,4501.8,4404.2,4495.7
