date,open,high,low,close
2010/06/30,4345.7,4345.7,4249.5,4301.5
2010/06/29,4384.6,4410.5,4343.4,4345.7
2010/06/28,4413.0,5012.8,4369.6,4384.6
2010/06/25,4479.7,4479.7,4409.3,4413.0
2010/06/24,4486.1,4519.2,4478.8,4479.7
2010/06/23,4558.3,4558.3,4486.1,4486.1
2010/06/22,4612.6,4612.6,4557.7,4558.3
2010/06/21,4551.9,4622.0,4551.9,4612.6
2010/06/18,4527.3,4561.5,4525.9,4551.9
2010/06/17,4559.0,4563.3,4514.9,4527.3
2010/06/16,4505.0,4572.4,4505.0,4559.0
2010/06/15,4505.5,4517.2,4490.9,4505.0
2010/06/11,4435.3,4506.7,4435.3,4505.5
2010/06/10,4385.3,4445.9,4385.3,4435.3
2010/06/09,4381.2,4390.0,4354.6,4385.3
2010/06/08,4325.9,4385.5,4322.3,4381.2
2010/06/07,4449.4,4449.4,4299.8,4325.9
2010/06/04,4486.0,4486.0,4430.7,4449.4
2010/06/03,4381.0,4489.1,4381.0,4486.0
2010/06/02,4413.1,4428.7,4374.2,4381.0
2010/06/01,4429.7,4430.6,4383.8,4413.1
