date,open,high,low,close
2011/09/30,4014.1,4035.3,3980.5,4008.6
2011/09/29,4022.1,4024.0,3965.2,4008.3
2011/09/28,4004.6,4053.8,4004.6,4039.5
2011/09/27,3890.7,4004.6,3888.1,4004.6
2011/09/26,3916.4,3956.4,3862.4,3863.9
2011/09/23,3946.0,3968.3,3882.2,3903.2
2011/09/22,4071.8,4071.8,3953.6,3964.9
2011/09/21,4043.4,4073.5,4026.1,4071.8
2011/09/20,4076.9,4083.8,4029.2,4040.2
2011/09/19,4139.5,4141.4,4070.5,4081.5
2011/09/16,4071.7,4160.0,4071.7,4149.4
2011/09/15,4032.5,4101.3,4026.3,4071.7
2011/09/14,4076.8,4110.0,3997.6,4005.8
2011/09/13,4051.7,4094.2,4050.8,4072.7
2011/09/12,4194.7,4194.7,4038.5,4038.5
2011/09/09,4188.0,4232.0,4182.4,4194.7
2011/09/08,4195.8,4218.9,4161.2,4188.0
2011/09/07,4082.1,4183.4,4082.1,4183.4
2011/09/06,4123.1,4123.1,4072.7,4075.5
2011/09/05,4242.9,4242.9,4135.9,4141.9
2011/09/02,4297.0,4297.0,4225.9,4242.9
2011/09/01,4298.6,4354.6,4297.9,4307.5
