date,open,high,low,close
2015/07/31,5669.5,5699.5,5669.5,5699.2
2015/07/30,5624.2,5676.5,5624.2,5669.5
2015/07/29,5584.7,5650.5,5584.7,5624.2
2015/07/28,5589.9,5607.1,5530.9,5584.7
2015/07/27,5565.9,5589.9,5538.0,5589.9
2015/07/24,5590.3,5607.2,5548.0,5566.1
2015/07/23,5614.6,5617.5,5586.2,5590.3
2015/07/22,5706.7,5706.7,5614.0,5614.6
2015/07/21,5686.9,5718.9,5686.8,5706.7
2015/07/20,5670.1,5688.3,5651.6,5686.9
2015/07/17,5669.6,5688.9,5647.7,5670.1
2015/07/16,5636.2,5691.2,5636.2,5669.6
2015/07/15,5577.4,5637.6,5576.9,5636.2
2015/07/14,5473.2,5587.1,5473.2,5577.4
2015/07/13,5492.0,5543.3,5451.1,5473.2
2015/07/10,5471.0,5528.4,5471.0,5492.0
2015/07/09,5469.5,5491.2,5383.7,5471.0
2015/07/08,5581.4,5581.4,5469.5,5469.5
2015/07/07,5475.0,5586.2,5475.0,5581.4
2015/07/06,5538.3,5538.3,5436.4,5475.0
2015/07/03,5599.8,5599.8,5491.1,5538.3
2015/07/02,5515.7,5609.9,5513.4,5599.8
2015/07/01,5455.4,5515.7,5452.8,5515.7
