date,open,high,low,close
2013/06/28,4811.3,4833.4,4795.6,4802.6
2013/06/27,4731.7,4830.5,4731.7,4811.3
2013/06/26,4656.0,4749.7,4656.0,4731.7
2013/06/25,4669.1,4688.2,4632.3,4656.0
2013/06/24,4738.8,4738.8,4662.3,4669.1
2013/06/21,4758.1,4758.1,4683.3,4738.8
2013/06/20,4861.4,4861.4,4729.0,4758.4
2013/06/19,4814.4,4861.4,4814.4,4861.4
2013/06/18,4825.9,4825.9,4767.5,4814.4
2013/06/17,4773.2,4825.9,4743.3,4825.9
2013/06/14,4695.8,4792.6,4695.8,4791.8
2013/06/13,4724.5,4724.5,4658.6,4695.8
2013/06/12,4757.1,4757.1,4710.0,4724.5
2013/06/11,4737.7,4758.4,4735.4,4757.1
2013/06/07,4781.2,4783.3,4732.3,4737.7
2013/06/06,4832.0,4832.0,4778.1,4781.2
2013/06/05,4900.8,4900.8,4831.1,4835.2
2013/06/04,4888.3,4907.2,4864.7,4900.8
2013/06/03,4926.6,4933.3,4888.3,4888.3
