date,open,high,low,close
2013/05/31,4942.2,4962.9,4922.8,4926.6
2013/05/30,4974.7,4974.7,4897.9,4930.7
2013/05/29,4970.7,4993.2,4960.3,4974.7
2013/05/28,4959.1,4981.3,4950.1,4970.7
2013/05/27,4983.8,4983.9,4931.2,4959.9
2013/05/24,5062.4,5083.5,4954.9,4983.5
2013/05/23,5160.2,5160.2,5058.6,5062.4
2013/05/22,5187.5,5203.4,5154.0,5165.4
2013/05/21,5207.8,5207.8,5160.6,5180.1
2013/05/20,5187.2,5246.9,5187.2,5209.0
2013/05/17,5175.6,5194.9,5168.6,5180.8
2013/05/16,5191.7,5211.6,5156.8,5165.7
2013/05/15,5222.3,5249.6,5168.5,5191.7
2013/05/14,5210.3,5227.1,5207.1,5221.0
2013/05/13,5203.5,5219.2,5190.2,5210.3
2013/05/10,5200.0,5242.5,5198.2,5206.1
2013/05/09,5194.2,5211.5,5182.3,5198.4
2013/05/08,5152.4,5201.9,5150.4,5199.8
2013/05/07,5162.7,5166.7,5118.9,5143.7
2013/05/06,5146.7,5201.3,5145.5,5156.2
2013/05/03,5130.0,5183.2,5126.5,5129.5
2013/05/02,5166.2,5166.2,5117.4,5130.0
2013/05/01,5187.3,5188.1,5159.6,5166.2
