date,open,high,low,close
2013/04/30,5125.8,5195.1,5125.8,5191.2
2013/04/29,5097.5,5130.3,5097.5,5125.8
2013/04/26,5113.9,5135.0,5097.4,5097.5
2013/04/24,5022.9,5103.6,5022.9,5102.4
2013/04/23,4966.6,5036.5,4966.6,5016.2
2013/04/22,4931.9,4966.6,4931.9,4966.6
2013/04/19,4924.4,4960.4,4918.4,4931.9
2013/04/18,4988.5,4992.6,4924.4,4924.4
2013/04/17,4950.8,5006.1,4950.8,5004.6
2013/04/16,4967.9,4967.9,4914.0,4950.8
2013/04/15,5005.3,5005.3,4933.3,4967.9
2013/04/12,5006.5,5023.0,5006.1,5013.5
2013/04/11,4968.0,5013.2,4968.0,5007.1
2013/04/10,4987.2,4991.9,4956.3,4968.0
2013/04/09,4905.5,4976.9,4905.5,4976.8
2013/04/08,4891.4,4914.0,4889.6,4905.5
2013/04/05,4919.9,4924.0,4883.7,4891.4
2013/04/04,4949.9,4949.9,4902.2,4913.5
2013/04/03,4989.8,5011.9,4934.6,4957.7
2013/04/02,4966.5,5005.6,4964.8,4985.5
