date,open,high,low,close
2013/11/29,5334.3,5339.2,5308.1,5320.0
2013/11/28,5332.9,5367.1,5332.9,5334.3
2013/11/27,5357.0,5362.4,5332.9,5332.9
2013/11/26,5352.8,5375.1,5345.0,5357.0
2013/11/25,5335.9,5374.1,5335.9,5352.8
2013/11/22,5288.3,5352.6,5288.3,5335.9
2013/11/21,5307.7,5307.7,5284.9,5288.3
2013/11/20,5352.9,5352.9,5296.2,5307.7
2013/11/19,5384.7,5384.7,5345.0,5352.9
2013/11/18,5401.7,5404.0,5357.4,5384.7
2013/11/15,5355.4,5406.1,5340.6,5401.7
2013/11/14,5319.2,5377.8,5319.2,5355.4
2013/11/13,5393.1,5393.1,5308.5,5319.2
2013/11/12,5387.1,5420.9,5386.1,5393.1
2013/11/11,5400.7,5439.2,5372.6,5387.1
2013/11/08,5422.0,5422.0,5379.9,5400.7
2013/11/07,5420.6,5427.2,5409.1,5422.0
2013/11/06,5432.0,5433.8,5406.0,5433.8
2013/11/05,5390.5,5438.4,5390.5,5432.0
2013/11/04,5411.1,5430.5,5388.8,5390.5
2013/11/01,5425.5,5425.9,5405.4,5411.1
