date,open,high,low,close
2013/02/28,5036.6,5112.5,5036.6,5104.1
2013/02/27,5011.6,5043.2,5011.6,5036.6
2013/02/26,5036.8,5038.6,4978.4,5003.6
2013/02/25,5016.8,5064.3,5016.8,5055.8
2013/02/22,4980.1,5055.3,4975.9,5018.1
2013/02/21,5069.2,5076.0,4980.1,4980.1
2013/02/20,5081.9,5106.6,5081.9,5098.7
2013/02/19,5063.4,5081.9,5045.8,5081.9
2013/02/18,5041.2,5070.5,5030.9,5063.4
2013/02/15,5031.9,5044.4,5021.0,5033.9
2013/02/14,5003.7,5045.4,4998.3,5036.9
2013/02/13,4959.0,5013.6,4959.0,5003.7
2013/02/12,4959.5,4981.5,4959.0,4959.0
2013/02/11,4971.3,4977.8,4959.5,4959.5
2013/02/08,4932.9,4971.3,4928.5,4971.3
2013/02/07,4914.9,4938.2,4907.9,4935.7
2013/02/06,4882.7,4931.2,4882.7,4921.0
2013/02/05,4896.0,4897.4,4869.5,4882.7
2013/02/04,4921.1,4951.3,4907.5,4907.5
2013/02/01,4878.8,4922.6,4878.8,4921.1
