date,open,high,low,close
2013/03/28,4995.0,4995.0,4966.5,4966.5
2013/03/27,4959.2,4995.0,4956.8,4995.0
2013/03/26,4981.0,4981.0,4942.5,4950.2
2013/03/25,4968.8,5023.2,4968.8,4990.2
2013/03/22,4956.3,4983.6,4927.9,4967.3
2013/03/21,4967.3,4998.9,4947.8,4959.4
2013/03/20,4987.4,4988.1,4937.5,4967.3
2013/03/19,5023.1,5057.4,4987.4,4987.4
2013/03/18,5101.7,5101.7,5014.7,5015.4
2013/03/15,5032.2,5120.2,5032.2,5120.2
2013/03/14,5089.7,5103.4,5032.2,5032.2
2013/03/13,5120.8,5121.8,5079.9,5092.4
2013/03/12,5150.5,5163.5,5117.9,5117.9
2013/03/11,5120.8,5148.4,5115.0,5146.9
2013/03/08,5109.2,5131.2,5102.0,5123.4
2013/03/07,5120.0,5135.7,5086.5,5109.2
2013/03/06,5075.4,5131.6,5075.4,5116.8
2013/03/05,5010.5,5095.0,5010.5,5075.4
2013/03/04,5086.1,5086.1,5009.6,5010.5
2013/03/01,5104.1,5104.1,5062.1,5086.1
