date,open,high,low,close
2016/07/29,5556.6,5570.4,5536.9,5562.4
2016/07/28,5539.7,5564.0,5538.8,5556.6
2016/07/27,5537.5,5564.6,5530.0,5539.7
2016/07/26,5530.2,5537.5,5498.2,5537.5
2016/07/25,5498.2,5548.5,5498.2,5533.6
2016/07/22,5512.6,5512.6,5477.9,5498.2
2016/07/21,5488.7,5531.9,5488.7,5512.4
2016/07/20,5451.3,5488.7,5439.8,5488.7
2016/07/19,5458.5,5466.4,5432.8,5451.3
2016/07/18,5429.6,5462.3,5428.9,5458.5
2016/07/15,5411.6,5452.7,5411.6,5429.6
2016/07/14,5388.5,5416.0,5386.0,5411.6
2016/07/13,5353.2,5391.7,5353.2,5388.5
2016/07/12,5337.1,5391.9,5337.1,5353.2
2016/07/11,5230.5,5337.1,5230.5,5337.1
2016/07/08,5227.9,5238.3,5217.4,5230.5
2016/07/07,5197.5,5244.1,5197.5,5227.9
2016/07/06,5228.0,5228.0,5148.7,5197.5
2016/07/05,5281.8,5282.3,5221.1,5228.0
2016/07/04,5246.6,5281.8,5218.5,5281.8
2016/07/01,5233.4,5278.9,5233.4,5246.6
