date,open,high,low,close
2016/06/30,5142.4,5247.6,5142.4,5233.4
2016/06/29,5103.3,5156.5,5103.3,5142.4
2016/06/28,5137.2,5137.2,5051.1,5103.3
2016/06/27,5113.2,5154.9,5051.0,5137.2
2016/06/24,5280.7,5325.4,5080.0,5113.2
2016/06/23,5271.0,5292.8,5269.4,5280.7
2016/06/22,5274.4,5297.8,5259.3,5270.9
2016/06/21,5256.8,5290.0,5252.3,5274.4
2016/06/20,5162.7,5256.8,5162.7,5256.8
2016/06/17,5146.0,5178.4,5146.0,5162.7
2016/06/16,5147.1,5198.9,5141.0,5146.0
2016/06/15,5203.3,5203.3,5147.1,5147.1
2016/06/14,5312.6,5312.6,5197.4,5203.3
2016/06/10,5361.9,5361.9,5294.2,5312.6
2016/06/09,5370.0,5386.0,5336.0,5361.9
2016/06/08,5371.0,5375.5,5335.2,5370.0
2016/06/07,5360.1,5392.5,5360.1,5371.0
2016/06/06,5318.9,5374.9,5317.1,5360.4
2016/06/03,5278.9,5324.3,5278.9,5318.9
2016/06/02,5323.2,5327.8,5270.9,5278.9
2016/06/01,5378.6,5378.6,5306.3,5323.2
